Index,Actual Fair Difference,Influence Fair Difference
231,-4.260751801377083e-08,-6.11165652962203e-08
232,4.188862492149337e-06,4.161300099988077e-06
233,2.3971464889749328e-06,2.344074269781973e-06
234,-1.701504533657694e-06,-1.7122121110370254e-06
235,-9.20978266644168e-06,-9.198524232441053e-06
236,1.0789845532210851e-05,1.0671985910664006e-05
237,-7.881052882657835e-06,-7.880282753792303e-06
238,-4.243026467048994e-05,-4.233186439221113e-05
239,4.1029152631155696e-05,4.0879452475656064e-05
240,7.68038192319187e-05,7.548513289549828e-05
241,1.9254132036017335e-05,1.90754704639613e-05
242,1.7462534280421327e-05,1.7368474529742178e-05
243,1.9193405198514313e-08,-2.101394797888171e-11
244,5.510474503367391e-07,5.251264380663495e-07
245,1.7514834992904404e-06,1.7277552238726376e-06
246,7.73234620227159e-06,7.679564731197344e-06
247,-2.681469851970042e-05,-2.6814589380059193e-05
248,-3.7694092370199606e-06,-3.7182035851911817e-06
249,-5.43027165724741e-05,-5.4248657682297836e-05
250,-9.8399907057789e-06,-9.854136730670307e-06
251,-4.784027577975358e-06,-4.7756360521746035e-06
252,-3.690384764790111e-05,-3.639820076046649e-05
253,-2.1184774390281547e-07,-2.3906793742249703e-07
254,3.4297001905159163e-09,-7.1771348722541184e-09
255,-9.032523620999822e-06,-9.012253857694375e-06
256,1.1534065480822697e-05,1.1418010836193662e-05
257,1.1414079157751056e-05,1.1371235075839328e-05
258,2.627603693020064e-05,2.6085204436185433e-05
259,2.1717264028386918e-05,2.163861466818315e-05
260,-2.0028613058609146e-06,-2.0156604514640807e-06
261,3.0953755675355854e-05,3.088313169577072e-05
262,5.03833279147381e-06,5.017806538407152e-06
263,3.558555555782661e-08,9.950511171574419e-09
264,-3.43937273869499e-06,-3.451391468902285e-06
265,-1.5082769389940243e-05,-1.5019093568399834e-05
266,-4.076952421216973e-07,-4.2958625667919495e-07
267,1.8196265222508723e-05,1.8153470711955705e-05
268,-8.183425365682062e-07,-8.284045176030987e-07
269,-4.2917161685585015e-07,-4.4786662358262354e-07
270,9.65750261150422e-08,8.277221506570179e-08
271,-2.2037872404345737e-05,-2.189563517590039e-05
272,1.771469352507271e-05,1.7635310102517225e-05
273,-3.6096614159375484e-06,-3.5957796396900636e-06
274,3.136687159321916e-05,3.125454006156843e-05
275,-4.383693381126985e-06,-4.39107711389936e-06
276,2.1680879563890088e-08,-1.126681181831577e-08
277,-7.94151179775715e-05,-7.923258342746768e-05
278,-7.00313464233604e-05,-6.961018803983643e-05
279,-5.2789092982175045e-06,-5.29034874654447e-06
280,-5.8301823219142346e-05,-5.748408621031202e-05
281,-9.414452520073446e-05,-9.362536113786596e-05
282,2.795630720325848e-05,2.7856146266973413e-05
283,2.536852745094187e-05,2.529783439544031e-05
284,-1.3156442319695039e-05,-1.2861615689569627e-05
285,-9.630789400624784e-05,-9.291153853228912e-05
286,-6.368758860766932e-05,-6.341281556107743e-05
287,-2.2675810582017952e-07,-2.411197794548374e-07
288,-1.4268434189723678e-07,-1.4961354108945704e-07
289,4.11048224447097e-05,4.053421736983761e-05
290,-1.3953295310953351e-05,-1.3593264116888169e-05
291,-4.955383204346964e-05,-4.9481701837803074e-05
292,4.608926782931344e-05,4.544475119651925e-05
293,2.813859836203747e-05,2.807472882248053e-05
294,1.9448966557367164e-05,1.916315575451836e-05
295,3.5845582624371986e-07,3.4812090222813976e-07
296,-3.3621913032466644e-05,-3.343795369494167e-05
297,6.944396610530923e-06,6.8561713587825e-06
298,-1.53613109950268e-05,-1.5200414001555453e-05
299,-2.014217173607058e-07,-2.19151733898586e-07
300,1.190249805790855e-05,1.1872866587884323e-05
301,2.1547120943044007e-07,2.062383606007555e-07
302,1.8631136152469363e-05,1.6340051621475977e-05
303,-1.1649079695863485e-06,-1.1773870975539287e-06
304,-2.4637240976121966e-05,-2.458966559406803e-05
305,-4.102618643031519e-06,-4.083659061594861e-06
306,-4.371011197590313e-05,-4.2508278044767996e-05
307,9.252447567664746e-06,9.206034768824189e-06
308,0.00012234389817081248,0.00011976261082513149
309,-3.379540358233735e-05,-3.3698762571002426e-05
310,-2.6790127311410172e-05,-2.6639678474497057e-05
311,-1.1065917397967695e-06,-1.1143548602714872e-06
312,-1.029955466208543e-05,-1.0283563319074463e-05
313,2.959818401304659e-05,2.944863318294559e-05
314,-5.220934924279885e-05,-5.210703087627031e-05
315,-1.3124041870538061e-05,-1.3072571064212436e-05
316,-7.501134105553087e-06,-7.496126762254085e-06
317,8.097175597576722e-06,8.066377068158e-06
318,-2.99218511801147e-07,-2.9819215170973644e-07
319,1.9757314953516847e-05,1.9684606848528554e-05
320,3.4973344255895267e-06,3.472625915140432e-06
321,-3.2285822430255795e-06,-3.1988566251731717e-06
322,1.3600203730590454e-05,1.3487435099178952e-05
323,1.2938100865944602e-05,1.2834290362172455e-05
324,-3.785203335771037e-07,-3.943727975711902e-07
325,1.6049146644547818e-05,1.6008587583283004e-05
326,-1.4889107985416317e-07,-1.711711624236335e-07
327,-5.021391913384576e-10,-1.2607259176672623e-08
328,-1.6919179916807803e-06,-1.7046566440949365e-06
329,-1.954648888635724e-06,-1.959134784354515e-06
330,2.0173228226783024e-08,9.204671773069243e-09
331,4.420167348140325e-06,4.392726102975344e-06
332,-2.8758401943163037e-07,-2.9363017023929247e-07
333,2.8284893084484786e-05,2.8270428805243072e-05
334,-6.429456386236598e-06,-6.425436447275061e-06
335,-5.6453603123063356e-05,-5.5799059448639356e-05
336,-8.958457407559628e-06,-8.96599244901428e-06
337,4.055495994231828e-05,4.029232352486521e-05
338,1.7374528965552472e-07,1.215416359986598e-07
339,9.601725934671457e-06,9.560320603024641e-06
340,1.2764681803778544e-06,1.2599521547526604e-06
341,1.7160137853799995e-05,1.7118826650999275e-05
342,1.768317187123003e-09,2.864841811216434e-10
343,4.597108272463846e-05,4.552968698584459e-05
344,-9.913432497121732e-08,-1.1134889558899811e-07
345,-4.780134294724014e-06,-4.757190324837755e-06
346,-2.0976554659046798e-05,-2.0909830155636632e-05
347,-6.369697566066534e-07,-6.5982411271937e-07
348,3.892971272695389e-05,3.882364576524495e-05
349,-1.0822388092357471e-05,-1.077464604701892e-05
350,-1.2009988539785077e-06,-1.2111882627734202e-06
351,0.0001153041539775912,0.00011218965464195426
352,-1.5635377484057855e-05,-1.5562430800243285e-05
353,-0.00012305770762391366,-0.00012209196974407772
354,-2.883975176393161e-05,-2.878729133639632e-05
355,1.3796142755428953e-05,1.3763714418190554e-05
356,-1.0048159744480145e-05,-9.990593731931119e-06
357,1.4066204201412802e-08,4.893281529545272e-09
358,-2.3847495253609408e-05,-2.3813242828755744e-05
359,2.077470610567511e-05,2.0724015459610344e-05
360,-1.9561669600820508e-07,-2.0789245737183114e-07
361,-1.9173712516862285e-06,-1.9337901920418e-06
362,1.0700469448843286e-06,1.0423847651133676e-06
363,1.0313382542426197e-07,8.002685887766443e-08
364,6.383817907629208e-08,4.0988078009898574e-08
365,-7.374926589931441e-05,-7.327356798056064e-05
366,5.309637139627732e-06,5.257728057319238e-06
367,1.9856339859430916e-05,1.9697528438368755e-05
368,-4.7362368514380915e-05,-4.694939294445867e-05
369,-3.158404663522463e-05,-3.159555294306629e-05
370,-3.181683383218781e-05,-3.1476660812606574e-05
371,3.784763832420657e-05,3.766432658668171e-05
372,7.072926028306448e-06,6.998462250024733e-06
373,-1.5981839885770288e-05,-1.586605584278471e-05
374,2.3996200444464932e-06,2.3628792205273406e-06
375,2.3672797807461343e-05,2.360419529307242e-05
376,8.575953891198917e-07,8.316542273395968e-07
377,-1.795026979894976e-05,-1.7919927231946584e-05
378,-9.076797981732998e-06,-8.786895288210524e-06
379,-1.112732062102939e-06,-1.1245893957943534e-06
380,-4.261680680328617e-05,-4.230418381930474e-05
381,-7.708283807472682e-06,-7.690542913462973e-06
382,-1.4033587581119278e-05,-1.398379402457298e-05
383,7.981802996326337e-09,-1.0975398096528026e-11
384,1.3827580505360038e-05,1.3762774231164048e-05
385,-1.1927649414544828e-06,-1.2023083307551456e-06
386,4.2494993256425584e-05,4.233790263360297e-05
387,-1.7067401919257374e-06,-1.7115223370741684e-06
388,-4.824604844408387e-05,-4.786236411200055e-05
389,2.470021755174301e-05,2.4582661141018193e-05
390,-1.1204293147881739e-05,-1.11716372781327e-05
391,-1.2933643533941108e-07,-1.372149922753884e-07
392,-2.9668116212799855e-05,-2.960237213042451e-05
393,1.8926780076256033e-06,1.8542820059525517e-06
394,1.0519151483756595e-06,1.0423847651133676e-06
395,-5.3882702896301815e-05,-5.295725289293916e-05
396,-5.03271861879151e-07,-5.253892793938476e-07
397,-5.533608948837809e-08,-6.682213828434246e-08
398,-2.2605727351687754e-06,-2.2712306720679518e-06
399,-1.5133983336607093e-05,-1.5082688302649603e-05
400,1.3790888238329746e-06,1.3624662084012381e-06
401,2.4983235666353742e-06,2.483825677051473e-06
402,3.847732003570137e-07,3.7099846237110965e-07
403,1.327588677879632e-09,-1.2327549619920347e-08
404,-4.957621174694893e-08,-4.845921567737885e-08
405,1.9795097464803124e-05,1.9722377558559322e-05
406,-3.5029531585129003e-06,-3.5055050364578202e-06
407,-4.0587576938255765e-08,-7.10453390018816e-08
408,5.2998159453532256e-05,5.251570955977971e-05
409,-2.873583620643938e-05,-2.8319959852337885e-05
410,-2.283070979131052e-06,-2.293098935473662e-06
411,8.171478459609305e-05,8.093849756504472e-05
412,2.995028937691213e-06,2.9621585053554734e-06
413,-3.213134297708198e-05,-3.198629806356254e-05
414,1.6756375214643793e-05,1.6677919251705497e-05
415,1.3772944787437957e-07,1.1606952666148618e-07
416,-1.3967118792090893e-07,-1.484715122645035e-07
417,7.658341234056953e-05,7.459498960348646e-05
418,-3.5499155933260695e-05,-3.528204609191428e-05
419,-4.9968666204130985e-05,-4.979939708902542e-05
420,2.866371502124876e-06,2.853345628047305e-06
421,1.3158576856853177e-05,1.3100085132249791e-05
422,5.072546892748164e-06,5.050414792964632e-06
423,1.1506217238721472e-06,1.132877185243515e-06
424,-1.1437781454237683e-05,-1.1420703599079597e-05
425,6.359230755370593e-06,6.316805411001609e-06
426,-4.0832123865408576e-07,-4.208008202665032e-07
427,4.814471517405883e-05,4.764516131033259e-05
428,1.780945612139817e-05,1.776104746567893e-05
429,-7.685401581802864e-08,-9.308535428863344e-08
430,-6.481267495472842e-07,-6.73957160982731e-07
431,2.6116884814436636e-05,2.5992204054564896e-05
432,-2.6011193953734413e-05,-2.587800676074362e-05
433,-3.4470435894551343e-07,-3.522938382222235e-07
434,-2.7088695853105804e-07,-2.7821561636083767e-07
435,-1.0025454737772055e-06,-1.0076597343213803e-06
436,1.1136420011159665e-07,8.416747892192946e-08
437,2.670588709180466e-05,2.66602405758664e-05
438,-5.948122794308119e-07,-6.503142556106088e-07
439,-1.745957955018307e-05,-1.7383924398651622e-05
440,-2.397711557883264e-06,-2.40862209198113e-06
441,1.531845064128845e-07,1.42624889422112e-07
442,-6.740281910552759e-05,-6.676343814028471e-05
443,2.673275508902062e-05,2.6456563307427974e-05
444,-1.7803627771484365e-05,-1.7747953050027048e-05
445,2.076658558808342e-05,2.0724015459610344e-05
446,-5.72018322078649e-06,-5.736445454160807e-06
447,2.927215996090249e-05,2.920953836741597e-05
448,4.0562680186928546e-08,2.5314252100913684e-08
